wdid,name,wdLabel,gender,dob,dobPrecision,source,sourceDate,pid,position,start,psid
Q107311725,Roberto Salcedo Aquino,Roberto Salcedo Aquino,male,1943-11-26,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q110005356,Secretario de la Función Pública,2021-06-21,Q107311725-142764F1-AE1C-43E2-9502-E78158C173A0
Q1396586,Marcelo Ebrard Casaubon,Marcelo Ebrard,male,1959-10-10,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q7444306,Secretario de Relaciones Exteriores,2018-12-01,Q1396586-74E9414B-9B1E-401F-92F7-05DDD7FD3DD5
Q15156389,Luisa María Alcalde,Luisa María Alcalde Luján,female,1987-08-24,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q110005377,Secretaria del Trabajo y Previsión Social,2018-12-01,Q15156389-93CCD7D3-3B19-4C4D-9C99-E089A2D7B17F
Q19521973,Miguel Torruco Marqués,Miguel Torruco Marqués,male,1951-09-19,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q28973023,Secretario de Turismo,2018-12-05,Q19521973-0147b58c-4820-8b53-9099-5f94f227b3f7
Q20895229,Rocío Nahle García,Rocío Nahle García,female,1964-04-14,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q28973041,Secretaria de Energía,2018-12-01,Q20895229-AB0BCF40-6667-4C38-9BC1-EBFC78F6870C
Q28777890,Delfina Gómez Álvarez,Delfina Gómez Álvarez,female,1962-11-15,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q105531113,Secretaria de Educación Pública,2021-02-15,Q28777890-c65ca767-4dc5-7972-f0a7-898150c80ce9
Q318508,Andrés Manuel López Obrador,Andrés Manuel López Obrador,male,1953-11-13,11,,,Q628004,presidente de México,2018-12-01,Q318508-511dc370-49df-415f-858c-a5c7915c3332
Q55386772,Alejandra Frausto Guerrero,Alejandra Frausto Guerrero,female,1972-03-25,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q99523793,Secretaria de Cultura,2018-12-01,Q55386772-1010f164-4d5d-ebc5-9af1-f95044f7a155
Q55386774,Jorge Alcocer Varela,Jorge Alcocer Varela,male,1946-02-08,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q99677656,Secretario de Salud,2018-12-01,Q55386774-96d90eda-4aa6-e9c7-f79d-35878183f2a0
Q5658653,Adán Augusto López Hernández,Adán Augusto López Hernández,male,1963-09-23,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q65640440,Secretario de Gobernación,2021-08-26,Q5658653-C2468A62-354C-4B6E-87C2-7F51CEE10D79
Q56781314,María Luisa Albores González,María Luisa Albores González,female,1976-07-18,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q110005367,Secretaria de Medio Ambiente y Recursos Naturales,2020-09-02,Q56781314-1C6E6E6C-778F-4FAB-9B84-027DD545286F
Q58336815,José Rafael Ojeda Durán,José Rafael Ojeda Durán,male,1954-02-03,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q99744185,Secretario de Marina,2018-12-01,Q58336815-c3c0bd16-464d-c5af-c993-f4d8bbb835f3
Q58338863,Román Meyer Falcón,Román Meyer Falcón,male,1983-08-11,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q110005328,"Secretario de Desarrollo Agrario, Territorial y Urbano",2018-12-01,Q58338863-7E35D910-708D-4017-8FD0-626D7C3230B4
Q58461400,Víctor Villalobos Arámbula,Víctor Manuel Villalobos Arámbula,male,1950-01-01,9,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q57077943,Secretario de Agricultura y Desarrollo Rural,2018-12-01,Q58461400-1DAA8BFE-B836-4911-8066-04E89DCB5D95
Q59868274,Luis Cresencio Sandoval,Luis Cresencio Sandoval,male,1960-02-07,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q65768002,Secretario de la Defensa Nacional,2018-12-01,Q59868274-cc0c7428-49a0-72b0-7d2c-4df05c277990
Q6139216,Tatiana Clouthier Carrillo,Tatiana Clouthier Carrillo,female,1964-08-12,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q103990866,Secretaria de Economía,2020-12-07,Q6139216-f2e2a286-4e92-1424-0640-08b2486eaebd
Q63857028,Ariadna Montiel Reyes,Ariadna Montiel Reyes,female,,,,,Q52413052,secretario de Bienestar,2022-01-11,Q63857028-31E5B8BA-3A60-4775-B9A0-7AEAA9B1B89E
Q64438288,Rosa Icela Rodríguez Velázquez,Rosa Icela Rodríguez,female,1959-01-01,9,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q110005292,Secretaria de Seguridad y Protección Ciudadana,2020-10-30,Q64438288-307F9935-6BFA-4EBA-83E6-CA4E177DBC5F
Q7357736,Rogelio Ramírez de la O,Rogelio Ramírez de la O,male,1948-07-07,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q52412845,Secretario de Hacienda y Crédito Público,2021-07-16,Q7357736-0E7AE297-1938-4286-B3B4-DB698A1722CA
Q97623098,Jorge Arganis Díaz Leal,Jorge Arganis Díaz Leal,male,1943-02-19,11,https://presidente.gob.mx/gabinete-3-2/,2021-12-08,Q110005388,Secretario de Comunicaciones y Transportes,2020-07-23,Q97623098-DF86DE17-36CA-477B-8E1B-59F4061F4EE8
