item,name,startDate,endDate,psid
Q102408924,Sergio Salazar Salazar,1997-09-01,2000-08-31,Q102408924-8005B8E4-A8CA-467B-9A69-5C0BF40577A1
Q106206045,Enrique Ku Herrera,1997-09-01,2000-08-31,Q106206045-700BABFD-CDE9-403C-9B0C-2C540F48B72C
Q106672111,María de la Luz Núñez Ramos,1997-09-01,2000-08-31,Q106672111-68AADDE9-49FE-48C2-B4D9-B6255BB7B817
Q109760958,José Armando Jasso Silva,1997-09-01,2000-08-31,Q109760958-CCB89A79-599C-41EA-8251-72CB9214856B
Q111517108,Maximiano Barboza Llamas,1997-09-01,2000-08-31,Q111517108-9B3DFCF7-4DAF-461C-9A6B-813D8DF31D35
Q111518771,Francisco Javier Santillán Oceguera,1997-09-01,2000-08-31,Q111518771-42ACEB05-C836-4AFE-BAD7-0472EC12222B
Q111518863,Juan Carlos Ruiz García,1997-09-01,2000-08-31,Q111518863-699A06CB-5A0A-4B08-B36E-58DBE13845FB
Q111520228,Felipe de Jesús Rangel Vargas,1997-09-01,2000-08-31,Q111520228-2F54B254-AF15-44EC-96AD-A936390A4F01
Q111521141,Verónica Velasco Rodríguez,1997-09-01,2000-08-31,Q111521141-259D5E17-C2D4-4809-8623-6932A9F77178
Q111523389,Aarón Quiroz Jiménez,1997-09-01,2000-08-31,Q111523389-8FFF54CA-078D-4158-B56E-6CC8A6D9A6A2
Q111523390,Abelardo Perales Meléndez,1997-09-01,2000-08-31,Q111523390-704B7EE2-B138-4CE3-ACCA-A8553D338287
Q111523391,Abenamar de la Fuente Lazo,1997-09-01,2000-08-31,Q111523391-A29AA79B-60DD-4902-8913-9E3E0244DAAE
Q111523392,Abraham González Negrete,1997-09-01,2000-08-31,Q111523392-F5321DC5-7131-44F4-9B75-192DAE32188F
Q111523393,Adalberto Balderrama,1997-09-01,2000-08-31,Q111523393-DA76011E-E492-4589-B4D2-C7A17CC7AC12
Q111523394,Adolfo González Zamora,1997-09-01,2000-08-31,Q111523394-D1825B98-A2CB-450B-8D13-253DAFDC83D3
Q111523395,Adoración Martínez Torres,1997-09-01,2000-08-31,Q111523395-FBEA71EA-56C8-4E1D-B213-6FEECF5E40D7
Q111523396,Agapito Hernández Oaxaca,1997-09-01,2000-08-31,Q111523396-6DCD2089-E35F-4A16-812F-2A9A4E32098B
Q111523397,Agustín Santiago Albores,1997-09-01,2000-08-31,Q111523397-3AAE4068-C40B-4679-AE02-A4CEC938D37F
Q111523398,Alberto Cifuentes Negrete,1997-09-01,2000-08-31,Q111523398-7E42160B-78F3-49C0-8A4D-15FA7CB9B2C0
Q111523399,Alberto González Domene,1997-09-01,2000-08-31,Q111523399-C5EDB376-6217-4290-8D4C-757CF5C86533
Q111523400,Alberto Martínez Miranda,1997-09-01,2000-08-31,Q111523400-DB31EB62-CECB-4C41-B565-FDD2DBDB2F36
Q111523401,Alejandro Alarcón Estrada,1997-09-01,2000-08-31,Q111523401-B2353075-06E6-4FBB-AE4D-CD392779C1C8
Q111523402,Alejandro Ordorica Saavedra,1997-09-01,2000-08-31,Q111523402-8C72BFBD-BF3E-4C65-B5B5-5E552F00A820
Q111523403,Alfonso Carrillo Zavala,1997-09-01,2000-08-31,Q111523403-E5B62826-61A1-43E6-B5E4-6C9C9DF58896
Q111523404,Alfonso Gómez Sandoval,1997-09-01,2000-08-31,Q111523404-3DFAEE75-FAAF-4953-AB07-DFFBB64514D5
Q111523405,Alfonso Sandoval Camuñas,1997-09-01,2000-08-31,Q111523405-45BAF4A8-2973-446B-A105-3030AA1BC9A0
Q111523406,Alfredo Lomelí Rivas,1997-09-01,2000-08-31,Q111523406-DB363831-EB8E-4862-84B9-743DD775B8CD
Q111523407,Alma Angelina Vucovich Seele,1997-09-01,2000-08-31,Q111523407-ADA079A4-7208-48E8-A641-6073745DB9C9
Q111523408,América Soto López,1997-09-01,2000-08-31,Q111523408-951FC8B5-9290-41FE-AD41-102766FEE1AE
Q111523409,Américo Alejandro Ramírez Rodríguez,1997-09-01,2000-08-31,Q111523409-985D25BA-2D96-4C38-B237-8483DBF22D62
Q111523410,Ana Lila Ceballos Trujeque,1997-09-01,2000-08-31,Q111523410-BB6F2D96-EB44-431A-9F12-A49086EE20F1
Q111523411,Anastasio Solís Lezo,1997-09-01,2000-08-31,Q111523411-BC927392-2C56-4BA8-B061-63E866EEF20D
Q111523412,Antonino Galaviz Olais,1997-09-01,2000-08-31,Q111523412-4FF420BF-018D-403F-8608-7F3169202B45
Q111523413,Antonio Cabello Sánchez,1997-09-01,2000-08-31,Q111523413-4184E3CE-B453-4F86-B10D-142714FA2C86
Q111523414,Antonio Esper Bujaidar,1997-09-01,2000-08-31,Q111523414-2615F6A1-1B44-49B8-8977-33E344D15E63
Q111523416,Antonio Lagunas Ángel,1997-09-01,2000-08-31,Q111523416-0745E816-357E-41CA-B121-454BD26C02B0
Q111523417,Antonio Palomino Rivera,1997-09-01,2000-08-31,Q111523417-CCB34DAE-1EA8-4CF8-A59C-7236012CE466
Q111523418,Aquileo Herrera Munguía,1997-09-01,2000-08-31,Q111523418-28A5A2D8-DE37-48D9-86F4-C041F16F2E13
Q111523419,Armando Aguirre Hervis,1997-09-01,2000-08-31,Q111523419-9F91619B-C649-456D-82B4-A6B1A41C8347
Q111523420,Armando Garza Cantú,1997-09-01,2000-08-31,Q111523420-790F3B3F-DF1E-4534-89FF-F85A2570DB76
Q111523421,Armando López Romero,1997-09-01,2000-08-31,Q111523421-B5467606-19D3-47F1-BA35-18772075E32C
Q111523422,Arquímides León Ovando,1997-09-01,2000-08-31,Q111523422-4A89E63A-A05B-4391-9A02-2523BFF9BCCD
Q111523423,Artemio Caamal Hernández,1997-09-01,2000-08-31,Q111523423-81D956C4-8AA6-4592-9405-807274D2BF9D
Q111523424,Arturo Charles Charles,1997-09-01,2000-08-31,Q111523424-A5D214BE-A87D-49CB-9980-D56612A9C1B6
Q111523425,Arturo Jairo García Quintanar,1997-09-01,2000-08-31,Q111523425-27DCB098-A1F2-4506-888E-1353F67E8FE5
Q111523426,Arturo Ontiveros y Romo,1997-09-01,2000-08-31,Q111523426-E24E2043-69B0-42F4-9BDE-5A7EBF61BFBB
Q111523427,Arturo Saiz Calderón García,1997-09-01,2000-08-31,Q111523427-D2BF0204-37AF-4EFB-BE09-25E606524012
Q111523428,Augusto Carrión Álvarez,1997-09-01,2000-08-31,Q111523428-5C1FFD0B-8B63-44AA-8116-7CE2C8300D19
Q111523429,Aurora Bazán López,1997-09-01,2000-08-31,Q111523429-D224DDBE-C92E-41E0-9897-5FA1C1091FFB
Q111523430,Baldemar Dzul Noh,1997-09-01,2000-08-31,Q111523430-C6B444B1-5D83-4705-AFE4-EB9358488957
Q111523431,Baldemar Tudón Martírez,1997-09-01,2000-08-31,Q111523431-73CCF255-E013-4D19-BBB5-CC65FE660403
Q111523432,Benito Mirón Lince,1997-09-01,2000-08-31,Q111523432-A3AEAB85-D956-4D87-9AD6-6B65C29214DC
Q111523433,Bertha Hernández Rodríguez,1997-09-01,2000-08-31,Q111523433-90F67277-AC87-4A06-B16A-2E39142A4085
Q111523434,Blanca Rosa García Galván,1997-09-01,2000-08-31,Q111523434-598F24E9-28B3-4B7D-A02F-0590206ED84C
Q111523435,Bonfilio Peñaloza García,1997-09-01,2000-08-31,Q111523435-62B888B6-3C9D-49E8-B04E-5769617F41DA
Q111523436,Bruno Espejel Basaldúa,1997-09-01,2000-08-31,Q111523436-8CF5AE69-96E3-4408-873C-DFC160BBF52F
Q111523437,Carlos Francisco Arce Macías,1997-09-01,2000-08-31,Q111523437-C8B41842-E7FE-4D67-A249-95C5B9E14FD4
Q111523438,Carlos Jaime Rodríguez Velasco,1997-09-01,2000-08-31,Q111523438-F7F58C25-37B7-42CC-B761-5E2EA19827A4
Q111523439,Carlos Íñiguez Cervantes,1997-09-01,2000-08-31,Q111523439-A3FC2519-E6A8-41CF-BE5E-DE8083D32DA1
